Lemma,Galtung Criteria,Classes
"['former', 'yemeni', 'president', 'ali', 'abdullah', 'saleh', 'sent', 'message', 'arab', 'gulf', 'state', 'asking', 'safe', 'exit', 'family', 'source', 'told', 'al', 'jazeera']",1,1
"['neither', 'hamas', 'israeli', 'army', 'prepared', 'comment', 'news', 'israeli', 'soldier', 'kidnapped', 'qassam', 'brigade', 'gaza']",1,1
"['see', 'picture', 'men', 'treated', 'like', 'cattle', 'hear', 'auctioneer', 'describe', 'big', 'strong', 'boy', 'farm', 'work', 'shock', 'conscience', 'u']",1,1
"['failing', 'fulfil', 'agreement', 'worked', 'trying', 'shift', 'responsibility', 'someone', 'else']",1,1
"['war', 'yemen', 'abduction', 'lebanon', 'leader', 'here', 'list', 'controversial', 'act', 'saudi', 'crown', 'prince']",1,1
"['saudi', 'arabia', 'crown', 'prince', 'told', 'two', 'former', 'american', 'official', 'want', 'twoyear', 'war', 'started', 'yemen', 'u', 'rapprochement', 'iran', 'according', 'leaked', 'email', 'published', 'middle', 'east', 'eye']",1,1
"['prince', 'ahmed', 'bin', 'abdulaziz', 'considering', 'returning', 'home', 'video', 'criticising', 'king', 'salman', 'crown', 'prince', 'mohammed', 'bin', 'salman', 'report', 'middle', 'east', 'eye']",1,1
"['saudi', 'king', 'salman', 'son', 'mb', 'increasingly', 'strained', 'relationship', 'odds', 'number', 'issue', 'including', 'war', 'yemen', 'according', 'uk', 'medium', 'report']",1,1
"['saudi', 'military', 'campaign', 'yemen', 'disaster', 'since', 'day', 'one']",1,1
"['white', 'house', 'tell', 'ambassador', 'leave', 'sanaa', 'wednesday', 'order', 'closure', 'embassy', 'yemen']",1,1
"['hadi', 'much', 'government', 'saudi', 'capital', 'riyadh', 'war']",1,1
"['spycables', 'expose', 'desperate', 'u', 'approach', 'hamas', 'classified', 'south', 'african', 'document', 'obtained', 'al', 'jazeera', 'also', 'reveal', 'approach', 'israel', 'thensecret', 'service', 'chief', 'meir', 'dagan', 'seeking', 'pretoria', 'help', 'effort', 'scupper', 'landmark', 'unauthorised', 'probe', 'alleged', 'war', 'crime', 'gaza', 'headed', 'south', 'african', 'judge', 'richard', 'goldstone']",1,1
"['saif', 'alislam', 'gaddafi', 'release', 'prison', 'mean', 'libya', 'struggle', 'violence', 'competing', 'government']",1,1
"['saif', 'alislam', 'want', 'return', 'power', 'point', 'revolution']",1,1
"['crown', 'prince', 'toxic', 'tainted', 'flawed', 'cant', 'ever', 'see', 'business', 'future', 'saudi', 'arabia', 'unless', 'change', 'u', 'senator', 'lindsey', 'graham', 'kingdom', 'defacto', 'ruler', 'mohammed', 'bin', 'salman']",1,1
"['barrage', 'tweet', 'weekend', 'monday', 'morning', 'president', 'trump', 'made', 'numerous', 'false', 'claim', 'presidential', 'candidate', 'joe', 'biden', 'bidens', 'son', 'hunter', 'biden', 'whistleblower', 'democratic', 'rep', 'adam', 'schiff', 'syria', 'approval', 'rating', 'cnns', 'daniel', 'dale', 'fact', 'check', 'president', 'tweet']",1,1
"['elusive', 'chief', 'islamic', 'state', 'iraq', 'levant', 'isil', 'group', 'abu', 'bakr', 'albaghdadi', 'appeared', 'video', 'first', 'time', 'five', 'year']",1,1
"['former', 'corporate', 'executive', 'patrick', 'shanahans', 'portfolio', 'department', 'defense', 'narrow', 'experience', 'international', 'affair', 'counterterrorism', 'shanahan', 'charged', 'carrying', 'president', 'order', 'withdrawing', 'u', 'troop', 'syria', 'possibly', 'afghanistan']",1,1
"['former', 'corporate', 'executive', 'patrick', 'shanahans', 'portfolio', 'department', 'defense', 'narrow', 'experience', 'international', 'affair', 'counterterrorism', 'shanahan', 'charged', 'carrying', 'president', 'order', 'withdrawing', 'u', 'troop', 'syria', 'possibly', 'afghanistan']",1,1
"['breaking', 'turkey', 'prepares', 'major', 'military', 'operation', 'northern', 'syria', 'u', 'say', 'wont', 'protect', 'kurdish', 'ally', 'developing', 'story', 'click']",1,1
"['dont', 'tough', 'guy', 'dont', 'fool', 'day', 'turkey', 'launched', 'offensive', 'syria', 'trump', 'sent', 'threatening', 'letter', 'erdogan']",1,1
"['â', 'œi', 'actually', 'thought', 'prankâ', 'rep', 'mike', 'quigley', 'reacts', 'president', 'trumpâ', 'letter', 'turkish', 'president', 'erdogan', 'turkeyâ', 'offensive', 'northern', 'syria', 'â', 'œfor', 'write', 'also', 'say', 'doesnâ', 'affect', 'u', 'ignorance', 'highest', 'levelâ', '']",1,1
"['decision', 'came', 'amid', 'increasing', 'tension', 'u', 'russia', 'warned', 'would', 'track', 'coalition', 'aircraft', 'syria', 'potential', 'target', 'halted', 'military', 'hotline', 'washington', 'incident']",1,1
"['senior', 'deputy', 'isil', 'chief', 'abu', 'bakr', 'albaghdadi', 'alhayali', 'primary', 'coordinator', 'moving', 'large', 'amount', 'weapon', 'explosive', 'vehicle', 'people', 'iraq', 'syria']",1,1
"['president', 'donald', 'j', 'trump', 'also', 'falsely', 'claimed', 'kurd', 'much', 'safer', 'despite', 'recent', 'decision', 'pull', 'u', 'force', 'northern', 'syria']",1,1
"['human', 'right', 'watch', 'echoed', 'accusation', 'syrian', 'activist', 'russia', 'behind', 'use', 'new', 'advanced', 'cluster', 'munition', 'syria', 'dropping', 'warplane', 'supplying', 'assad', 'government']",1,1
"['unilateral', 'action', 'nothing', 'assist', 'finding', 'longterm', 'peaceful', 'solution', 'conflict', 'middle', 'east', 'jerry', 'matjila', 'south', 'africa', 'un', 'ambassador']",1,1
"['security', 'force', 'estimate', '600', 'british', 'muslim', 'travelled', 'syria', 'join', 'conflict', 'islamic', 'state', 'iraq', 'levant', 'group']",1,1
"['last', 'year', 'today', 'missile', 'strike', 'reveal', 'u', 'longterm', 'strategy', 'syria', 'writes', 'ibrahim', 'almarashi', 'ajopinion']",1,1
"['contrary', 'trump', 'strong', 'language', 'threat', 'strike', 'air', 'strike', 'impact', 'helped', 'assads', 'regime', 'gain', 'new', 'moral', 'momentum']",1,1
"['ankara', 'pledge', 'continue', 'operation', 'northeast', 'syria', 'despite', 'warning', 'humanitarian', 'crisis', '100000', 'flee', 'home']",1,1
"['president', 'donald', 'j', 'trump', 'made', '87', 'false', 'claim', 'last', 'week', 'using', 'relentless', 'dishonesty', 'defend', 'dealing', 'ukraine', 'decision', 'syria']",1,1
"['world', 'power', 'fear', 'turkey', 'military', 'offensive', 'northeast', 'syria', 'could', 'threaten', 'regional', 'security', 'allow', 'revival', 'isil', 'initial', 'comment', 'following', 'start', 'turkeyâ', 'operation', 'peace', 'spring']",1,1
"['bigger', 'picture', 'development', 'troubling', 'theyre', 'indicator', 'trump', 'desire', 'get', 'closer', 'putin']",1,1
"['country', 'area', 'immensely', 'wealthy', 'would', 'except', 'united', 'state', 'lesser', 'extent', 'france', 'trump', 'said']",1,1
"['australia', 'unveiled', 'plan', 'increase', 'government', 'power', 'strip', 'citizenship', 'people', 'convicted', 'terrorism', 'control', 'movement', 'australian', 'fighter', 'return', 'home', 'battlefield', 'syria', 'iraq']",1,1
"['six', 'armed', 'opposition', 'faction', 'syria', 'announced', 'joining', 'rank', 'one', 'country', 'largest', 'rebel', 'group']",2,1
"['former', 'vice', 'president', 'joe', 'biden', 'president', 'trump', 'decision', 'withdraw', 'u', 'troop', 'northern', 'syria', 'shameful', 'thing', 'president', 'done', 'modern', 'history', 'term', 'foreign', 'policy', 'shameful', 'shameful', 'man', 'done', 'demdebate']",2,1
"['data', 'showed', 'air', 'force', 'borne', 'twothirds', 'total', 'spending', '18bn', 'daily', 'combat', 'reconnaissance', 'flight', 'cost', '5m', 'day']",2,1
"['government', 'said', 'legal', 'basis', 'extending', 'air', 'operation', 'syria', 'collective', 'selfdefence', 'iraq', 'isil', 'respect', 'national', 'border', 'exercising', 'right', 'collective', 'selfdefence', 'article', '51', 'un', 'charter', 'striking', 'daesh', 'isil', 'syria', 'abbott', 'said', 'adding', 'focus', 'campaign', 'would', 'isil', 'assad', 'government']",2,1
"['france', 'always', 'forefront', 'conflict', 'involved', 'start', 'took', 'strong', 'position', 'bashar', 'alassads', 'government', 'also', 'later', 'daesh', 'isil']",2,1
"['syria', 'assad', 'admits', 'setback', 'war', 'idlibs', 'fall', '']",2,1
"['breaking', 'news', 'first', 'cnn', 'house', 'speaker', 'john', 'boehner', 'turned', 'request', 'russian', 'diplomat', 'meet', 'syria']",2,1
"['turkish', 'foreign', 'minister', 'mevlut', 'cavusoglu', 'rejected', 'german', 'plan', 'internationally', 'enforced', 'security', 'zone', 'along', 'syria', 'border', 'turkey', 'unrealistic']",2,1
"['rafah', 'border', 'crossing', 'gaza', 'gateway', 'outside', 'world', 'israeli', 'control', 'opened', 'monday', 'four', 'day']",2,1
"['tunisian', 'authority', 'said', 'stopped', '20', 'european', 'carrying', 'weapon', 'last', 'week', 'including', '13', 'french', 'citizen', 'attempting', 'cross', 'country', 'neighbouring', 'libya']",2,1
"['sixmetre', 'tall', 'fence', 'prevent', 'palestinian', 'infiltrating', 'israel', 'gaza', 'strip', 'prime', 'minister', 'say']",2,1
"['israel', 'increased', 'gaza', 'fishing', 'limit', '3', 'nautical', 'mile', 'restrictive', 'policy', 'mean', 'fisherman']",2,1
"['longest', 'duration', 'since', '2013', 'crossing', 'connecting', 'gaza', 'egypt', 'would', 'accessible']",2,1
"['since', 'last', 'october', 'egypt', 'opened', 'rafah', 'occasionally', 'two', 'three', 'day', 'time', 'mostly', 'one', 'direction', 'according', 'eyad', 'albozom', 'spokesman', 'interior', 'ministry', 'gaza', 'last', 'year', 'worst', 'year', 'border', 'crossing', 'five', 'year']",2,1
"['resolution', 'failed', 'pas']",2,1
"['israel', 'try', 'distort', 'reality', 'maintain', 'status', 'quo', 'ajopinion', 'halim', 'shebaya']",2,1
"['july', '2005', 'israeli', 'prime', 'minister', 'ariel', 'sharon', 'declared', 'israel', 'would', 'withdraw', 'occupied', 'gaza', 'strip', 'israeli', 'settler', 'living', 'settlercolonies', 'gaza', 'strip', 'would', 'also', 'forcibly', 'removed', 'august', '15', '2005', 'ten', 'year', 'later', 'israel', 'egypt', 'aid', 'effectively', 'maintains', 'occupation', 'gaza', 'strip', 'absolute', 'land', 'siege', 'naval', 'blockade']",2,1
"['secretary', 'commerce', 'wilbur', 'ross', 'president', 'donald', 'j', 'trump', 'night', 'launched', 'military', 'strike', 'syria']",2,1
"['pakistan', 'government', 'refused', 'share', 'detail', 'deployment', 'contingent', 'thousand', 'soldier', 'saudi', 'arabia', 'prompting', 'concern', 'troop', 'could', 'support', 'kingdom', 'ongoing', 'military', 'campaign', 'yemen']",2,1
"['think', 'breaking', 'point', 'secretary', 'mattis', 'who', 'never', 'known', 'quit', 'anything', 'every', 'star', 'shoulder', 'earned', 'blood', 'mud', 'battle', 'taken', 'account', 'former', 'defense', 'secretary', 'william', 'cohen', 'discus', 'james', 'mattis', 'resignation', 'president', 'donald', 'j', 'trump', 'plan', 'withdraw', 'troop', 'syria']",2,1
"['possible', 'name', 'single', 'syrian', 'armed', 'opposition', 'group', 'without', 'regional', 'international', 'connection', 'war', 'syria', 'therefore', 'bloody', 'exercise', 'geopolitics', 'regional', 'reconfiguration', 'look', 'map']",2,1
"['russia', 'started', 'delivering', 's300', 'surfacetoair', 'missile', 'system', 'syrian', 'force']",2,1
"['u', 'secretary', 'state', 'rex', 'tillerson', 'organizing', 'international', 'coalition', 'remove', 'syrian', 'president', 'assad', 'step', 'underway']",2,1
"['moscow', 'increasingly', 'risk', 'held', 'hostage', 'damascus', 'tehran', 'writes', 'leonid', 'issaev']",2,1
"['live', 'u', 'president', 'donald', 'trump', 'make', 'statement', 'syria', 'conflict']",2,1
"['delivering', 'annual', 'state', 'nation', 'address', 'russian', 'president', 'say', 'country', 'ignore', 'called', 'turkey', 'aiding', 'terrorist']",2,1
"['trump', 'say', 'turkish', 'group', 'pkk', 'probably', 'bigger', 'terrorist', 'threat', 'isil', 'face', 'criticism', 'syria', 'move']",2,1
